feature,importance,importance_std,perturbed_qwk
Medical_History_40,-0.002438497592126887,0.0,0.6042021158541095
InsuredInfo_1,-0.002912448131021095,0.0,0.6046760663930038
Medical_History_12,-0.0030548707819507692,0.0,0.6048184890439334
Medical_Keyword_10,-0.0032267299184706166,0.0,0.6049903481804533
Medical_History_3,-0.003550888425497445,0.0,0.6053145066874801
Family_Hist_2,-0.0038580653749024085,0.0,0.6056216836368851
Family_Hist_4,-0.004238108853734102,0.0,0.6060017271157168
Insurance_History_3,-0.004945669863870461,0.0,0.6067092881258531
Insurance_History_8,-0.00501030823983506,0.0,0.6067739265018177
Medical_Keyword_25,-0.00501030823983506,0.0,0.6067739265018177
Insurance_History_9,-0.00501030823983506,0.0,0.6067739265018177
Medical_History_28,-0.00501030823983506,0.0,0.6067739265018177
Medical_Keyword_40,-0.00501030823983506,0.0,0.6067739265018177
Employment_Info_3,-0.00501030823983506,0.0,0.6067739265018177
Medical_Keyword_45,-0.00501030823983506,0.0,0.6067739265018177
Medical_Keyword_47,-0.00501030823983506,0.0,0.6067739265018177
Insurance_History_7,-0.00501030823983506,0.0,0.6067739265018177
Product_Info_1,-0.00501030823983506,0.0,0.6067739265018177
Medical_History_25,-0.00501030823983506,0.0,0.6067739265018177
Medical_Keyword_41,-0.005964926348933752,0.0,0.6077285446109164
Medical_Keyword_34,-0.00642647273902841,0.0,0.6081900910010111
Medical_History_36,-0.006665827843670091,0.0,0.6084294461056527
Medical_History_16,-0.006916566725566287,0.0,0.608680184987549
Family_Hist_3,-0.007317857388355442,0.0,0.6090814756503381
Employment_Info_2,-0.007569283990415232,0.0,0.6093329022523979
Medical_History_30,-0.008196555657415172,0.0,0.6099601739193978
Medical_History_8,-0.008557889097606464,0.0,0.6103215073595891
Medical_Keyword_32,-0.008839411174999312,0.0,0.610603029436982
Medical_Keyword_42,-0.008839411174999312,0.0,0.610603029436982
Medical_Keyword_36,-0.008839411174999312,0.0,0.610603029436982
Medical_History_21,-0.008839411174999312,0.0,0.610603029436982
Medical_Keyword_28,-0.008839411174999312,0.0,0.610603029436982
Medical_Keyword_11,-0.009857395273248248,0.0,0.6116210135352309
Medical_History_19,-0.010991429275673537,0.0,0.6127550475376562
Medical_Keyword_14,-0.011278302196634393,0.0,0.613041920458617
Medical_History_17,-0.012811779858959094,0.0,0.6145753981209418
Medical_History_39,-0.013086164004640133,0.0,0.6148497822666228
Medical_History_6,-0.013103400188985925,0.0,0.6148670184509686
Medical_Keyword_3,-0.013389379592659956,0.0,0.6151529978546426
Product_Info_2,-0.014238424862538568,0.0,0.6160020431245212
Medical_History_22,-0.01589707119650363,0.0,0.6176606894584863
Medical_History_26,-0.01589707119650363,0.0,0.6176606894584863
Medical_History_37,-0.01691065116068302,0.0,0.6186742694226657
Medical_History_13,-0.021636941763537476,0.0,0.6234005600255201
Medical_History_10,-0.02452702744613877,0.0,0.6262906457081214
Insurance_History_2,-0.0246229423543457,0.0,0.6263865606163284
Ht,-0.02637369580667437,0.0,0.628137314068657
